1,International Islamic University Malaysia,NULL,IIUM,Universiti Islam Antarabangsa Malaysia
2,Islamic Science University of Malaysia,NULL,USIM,Universiti Sains Islam Malaysia
3,MARA University of Technology,NULL,UiTM,Universiti Teknologi MARA
4,National Defence University of Malaysia,NULL,UPNM,Universiti Pertahanan Nasional Malaysia
5,National University of Malaysia,NULL,UKM,Universiti Kebangsaan Malaysia
6,Northern University of Malaysia,NULL,UUM,Universiti Utara Malaysia
7,Putra University of Malaysia,NULL,UPM,Universiti Putra Malaysia
8,Sultan Idris Education University,NULL,UPSI,Universiti Pendidikan Sultan Idris
9,Sultan Zainal Abidin University,NULL,UniSZA,Universiti Sultan Zainal Abidin
10,Technical University of Malaysia,NULL,UTEM,Universiti Teknikal Malaysia Melaka
11,Tun Hussein Onn University of Malaysia,NULL,UTHM,Universiti Tun Hussein Onn Malaysia
12,University of Malaya,NULL,UM,Universiti Malaya
13,University of Malaysia Kelantan,NULL,UMK,Universiti Malaysia Kelantan
14,University of Malaysia Pahang,NULL,UMP,Universiti Malaysia Pahang
15,University of Malaysia Perlis,NULL,UNIMAP,Universiti Malaysia Perlis
16,University of Malaysia Sabah,NULL,UMS,Universiti Malaysia Sabah
17,University of Malaysia Sarawak,NULL,UNIMAS,Universiti Malaysia Sarawak
18,University of Malaysia Terengganu,NULL,UMT,Universiti Malaysia Terengganu
19,University of Science Malaysia,NULL,USM,Universiti Sains Malaysia
20,University of Technology Malaysia,NULL,UTM,Universiti Teknologi Malaysia
